"Brasão","Apelido","Origem","Variantes","Grafia arcaica","Versão castelhana"
"","Mourinho","","","",""
"","Moutinho","","","",""
"","Muniz","patronímica","Moniz Munhoz","","Muñiz"
"","Murteira","","","",""
"","Murtinho","","","",""
"","Muxagata","","","",""
"","Narvais","toponímica","","Narvaes","Narvaez"
"","Nascimento","religiosa","","",""
"","Natal","religiosa","","",""
"","Naves","toponímica","","","Naves"
"","Nazário","","","",""
"","Negrão","","","",""
"","Negreiros","","","",""
"","Negromonte","","","",""
"","Neiva","","","",""
"","Neres","","","",""
"","Neto","","","Netto","Nieto"
"","Neves","religiosa","","","Nieves"
"","Ninharelhos","","","",""
"","Nobre","","","",""
"","Nóbrega","","","",""
"","Nogueira","toponímica","","","Noguera"
"","Noite","","","",""
"","Nolasco","","","","Nolasco"
"","Noleto","","Nolêto","Nolleto",""
"","Norões","","","",""
"","Noronha","toponímica","","","Noreña"
"","Novais","","","Novaes","Novalles"
"","Nunes","patronímica","","","Núñez"
"","Olaio","","","",""
"","Oleiro","","","",""
"","Olivares","","","",""
"","Oliveira","toponímica","","","Olivera"
"","Onofre","","","",""
"","Ornelas","","Dornelles, Orneles","Dornellas",""
"","Orriça","","","",""
"","Osório","","Ozório","","Osorio"
"","Ourique","","","",""
"","Ouro","","","",""
"","Outeiro","","","","Otero"
"","Pacheco","toponímica","","","Pacheco"
"","Padilha","","","","Padilla"
"","Pádua","","","",""
"","Paião","","","",""
"","Pais","patronímica","","Paes","Peláez, Páez"
"","Paiva","toponímica","","Payva","Pavía"
"","Paixão","","","",""
"","Palha","","","",""
"","Palhares","","","","Pajares"
"","Palma","","","",""
"","Palmeira","","","",""
"","Palos","patronímica","","Pallos",""
"","Parafita","","","",""
"","Paranhos","","","",""
"","Pardo","","","","Pardo"
"","Paredes [2]","","","","Paredes"
"","Parente [3]","","","",""
"","Parracho","","","",""
"","Parreira [4]","","","","Parrera"
"","Passarinho [5]","","","",""
"","Passos","","","","Pasos"
"","Pastana [6]","","Pestana","",""
"","Patrício","","","",""
"","Paula","","","",""
"","Paulos","","","",""
"","Paz","","","","Paz"
"","Peçanha","","Pessanha","",""
"","Pêcego","","Pêssego","",""
"","Pederneiras","","","",""
"","Pedro","","","",""
"","Pedroso","","Pedrosa","Pedrozo",""
"","Pegado","","","",""
"","Peixoto","","","",""
"","Penha","toponímica","Pena","","Peña"
"","Penteado","","","",""
"","Pequeno","","","",""
"","Peralta","","","","Peralta"
"","Perdigão","","","","Perdigón"
"","Pereira","toponímica","","Pereyra","Perera"
"","Pescada","","","",""
"","Peseiro","","","",""
"","Pessoa","alcunha","","Pessôa",""
"","Pestana [7]","","","",""
"","Picanço","","","",""
"","Picão","","","Picam",""
"","Pimenta","","","","Pimienta"
"","Pimentel","","","",""
"","Pinhal","","","",""
"","Pinheiro","","","","Piñero"
"","Pinho","","","","Pino"
"","Pinto","","","","Pinto"
"","Piteira","","","",""
"","Pires","patronímica","Peres,Pedrez,Petrez","","Pérez"
"","Poças","","","","Pozas"
"","Ponte","","","",""
"","Pontes","","","","Puentes"
"","Porciúncula","","","","Porciúncula"
"","Portela","","","Portella",""
"","Porto","","","","Puerto"
"","Portugal","toponímica","","",""
"","Póvoas","","","",""
"","Prada","","","",""
"","Prado","","","","Prado"
"","Prates","","","",""
"","Prestes","","","",""
"","Proença","","","",""
"","Protásio","","","","Protasio"
"","Prudente","","","",""
"","Pureza","","","",""
"","Quadros","","","",""
"","Quaresma","religiosa","","","Cuaresma"
"","Queiroga","","","","Quiroga"
"","Queirós","toponímica","","Queiroz","Quirós"
"","Quental","","Quintal","",""
"","Quesado","","","Quezado",""
"","Quina","","","",""
"","Quinaz","","","",""
"","Quinta","","","",""
"","Quintal","","Quental","",""
"","Quintana","","","","Quintana"
"","Quintanilha","","","","Quintanilla"
"","Quintas","","","",""
"","Quintais","","","",""
"","Quintão","","","",""
"","Quinteiro","","","","Quintero"
"","Quintela","","","Quintella",""
"","Quinterno","","","",""
"","Quinzeiro","","","",""
"","Quirino","","Querino","",""
"","Rabelo","","","Rabello",""
"","Ramalho","","","","Ramallo"
"","Raminhos","","","",""
"","Ramires","patronímica","","","Ramírez"
"","Ramos","religioso","","","Ramos"
"","Rangel","","","","Rangel"
"","Raposo","","","",""
"","Rebelo","","","Rebello",""
"","Rebimbas","","","",""
"","Rebocho","","","",""
"","Rebotim","","","",""
"","Rebouças","","","",""
"","Redondo","","","",""
"","Regalado","","","",""
"","Rego","","Rêgo","",""
"","Regodeiro (muito raro)","toponímica","","",""
"","Regueira","","","","Reguera"
"","Rei","","","",""
"","Reino","","","",""
"","Reis","","","Reys","Reyes"
"","Remígio","","","",""
"","Resende","toponímica","","Rezende",""
"","Ribas","","","","Rivas"
"","Ribeiro","","","","Rivero"
"","Rico","","","","Rico"
"","Rijo","","","",""
